               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04322,            0.013297,             0.07727,             0.93585,            0.011494,            0.064898,            0.025056,            0.037296,            0.019173,            0.053901,            0.008845,            0.008845,            0.008845
                  37,            0.045295,            0.012276,             0.07552,             0.99387,            0.011494,            0.025806,            0.011646,              0.0458,            0.013683,            0.053996,            0.008812,            0.008812,            0.008812
                  38,            0.041048,            0.012677,            0.076859,          0.00012204,            0.034483,          0.00012282,          1.7432e-05,            0.052921,            0.014435,            0.055296,            0.008779,            0.008779,            0.008779
                  39,            0.044197,            0.013129,            0.075465,          8.5353e-05,            0.017241,          6.9577e-05,          6.9577e-06,            0.052479,            0.016705,            0.055888,            0.008746,            0.008746,            0.008746
                  40,            0.040454,             0.01173,            0.074448,                   0,                   0,                   0,                   0,            0.052833,            0.014053,            0.055462,            0.008713,            0.008713,            0.008713
                  41,            0.039642,            0.012376,            0.075499,          0.00013579,            0.028736,          0.00012785,          2.0442e-05,            0.048909,            0.014881,            0.055438,             0.00868,             0.00868,             0.00868
                  42,             0.03742,            0.011658,             0.07428,          0.00041949,            0.074713,          0.00067496,          6.7496e-05,            0.049453,            0.012053,            0.055651,            0.008647,            0.008647,            0.008647
                  43,            0.044913,            0.012812,            0.072899,            0.007197,             0.52874,            0.067438,            0.026253,            0.036996,            0.010456,            0.053735,            0.008614,            0.008614,            0.008614
                  44,             0.04045,            0.012607,            0.073463,           0.0093548,             0.47701,              0.1215,            0.047624,            0.029691,            0.011883,            0.052908,            0.008581,            0.008581,            0.008581
                  45,            0.043104,            0.012295,            0.072136,             0.62798,            0.091954,             0.12224,            0.057702,            0.029663,            0.011522,            0.050826,            0.008548,            0.008548,            0.008548
                  46,            0.040353,            0.010714,             0.07246,             0.18685,             0.12185,             0.11052,            0.054081,            0.033495,            0.010689,            0.049998,            0.008515,            0.008515,            0.008515
                  47,            0.042205,            0.011179,            0.071271,             0.24503,             0.37123,             0.27886,             0.15265,            0.025466,           0.0063372,            0.048213,            0.008482,            0.008482,            0.008482
                  48,             0.04282,            0.010889,            0.072688,             0.23937,             0.27306,             0.23617,            0.097477,            0.029719,           0.0079575,            0.048579,            0.008449,            0.008449,            0.008449
                  49,            0.040354,            0.011431,            0.071811,             0.25992,             0.18713,             0.15163,            0.074457,            0.036099,           0.0085411,            0.051276,            0.008416,            0.008416,            0.008416
                  50,            0.035983,            0.010432,            0.064872,             0.67748,            0.097701,             0.13068,            0.058973,             0.03792,           0.0082092,            0.051418,            0.008383,            0.008383,            0.008383
                  51,            0.033154,            0.011427,            0.065247,              0.3293,            0.087311,             0.14985,            0.078386,            0.031447,           0.0090561,            0.049857,             0.00835,             0.00835,             0.00835
                  52,            0.038669,             0.01161,            0.070803,              0.6911,            0.074713,              0.1844,            0.093809,            0.031255,           0.0085316,            0.051039,            0.008317,            0.008317,            0.008317
                  53,            0.039521,            0.011865,            0.070962,             0.43045,             0.14472,             0.18342,            0.089103,            0.035903,           0.0074959,            0.048792,            0.008284,            0.008284,            0.008284
