               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04205,             0.01209,            0.078819,             0.31776,             0.38471,             0.26633,             0.13462,            0.025974,           0.0060275,            0.050421,           0.0091585,           0.0091585,           0.0091585
                  36,            0.041095,            0.012783,            0.071069,             0.11226,             0.75551,             0.30557,             0.19616,             0.02184,           0.0060872,            0.050658,           0.0091337,           0.0091337,           0.0091337
                  37,            0.040061,            0.012764,            0.078456,             0.28425,             0.39216,             0.24904,             0.13151,            0.024635,            0.006324,            0.052046,            0.009109,            0.009109,            0.009109
                  38,            0.034225,            0.011722,            0.069466,             0.10004,             0.72989,             0.23905,             0.12884,            0.024581,           0.0069869,             0.05245,           0.0090843,           0.0090843,           0.0090843
                  39,            0.035925,            0.011035,            0.072148,             0.14001,             0.52874,             0.17613,            0.085392,            0.031042,           0.0068917,            0.051128,           0.0090595,           0.0090595,           0.0090595
                  40,            0.043131,            0.012521,            0.074702,             0.19427,             0.48276,             0.25042,             0.12737,             0.02385,           0.0069312,            0.050742,           0.0090347,           0.0090347,           0.0090347
                  41,             0.03773,            0.012109,             0.06804,             0.39972,             0.32962,             0.24929,             0.11054,             0.02544,           0.0064652,            0.049844,             0.00901,             0.00901,             0.00901
                  42,            0.039667,            0.012623,            0.075506,             0.10876,             0.41596,              0.2357,             0.13597,            0.022027,           0.0074179,            0.049451,           0.0089853,           0.0089853,           0.0089853
                  43,            0.036148,            0.012981,             0.06831,             0.40143,              0.4031,             0.28987,             0.12258,            0.026926,           0.0054974,            0.048359,           0.0089605,           0.0089605,           0.0089605
                  44,            0.038952,            0.011043,            0.067534,             0.40489,             0.29305,             0.27686,             0.15771,            0.022068,           0.0060094,            0.048628,           0.0089358,           0.0089358,           0.0089358
                  45,            0.036664,            0.012238,            0.070474,             0.41292,             0.32867,             0.24861,             0.14944,            0.025245,            0.006587,            0.048697,            0.008911,            0.008911,            0.008911
                  46,            0.034216,            0.012115,            0.064942,             0.47972,              0.2536,             0.26683,             0.16882,            0.023829,           0.0077284,            0.049189,           0.0088863,           0.0088863,           0.0088863
                  47,            0.036561,            0.011551,            0.067882,             0.34406,             0.31148,             0.30297,             0.19136,            0.020333,           0.0059362,            0.047828,           0.0088615,           0.0088615,           0.0088615
                  48,            0.037865,            0.012232,            0.073724,             0.41285,             0.28399,             0.28029,             0.15212,            0.024801,           0.0060036,            0.047675,           0.0088368,           0.0088368,           0.0088368
                  49,            0.036329,            0.011571,            0.067632,             0.21212,             0.42989,             0.23329,             0.14327,            0.021135,           0.0079389,            0.048141,            0.008812,            0.008812,            0.008812
                  50,            0.031565,            0.011212,            0.066537,             0.32448,             0.30496,             0.26573,             0.14683,            0.023562,           0.0064807,             0.04775,           0.0087872,           0.0087872,           0.0087872
                  51,            0.037453,            0.011668,            0.067832,             0.23677,              0.3217,             0.25942,             0.15793,            0.023909,           0.0065469,            0.047641,           0.0087625,           0.0087625,           0.0087625
                  52,            0.029124,             0.01114,             0.05937,             0.35306,             0.29189,             0.22573,             0.13897,             0.02157,            0.006905,            0.047426,           0.0087378,           0.0087378,           0.0087378
                  53,            0.038995,            0.012158,            0.071341,              0.3853,              0.3318,             0.28552,             0.14933,             0.02475,           0.0061524,            0.046847,            0.008713,            0.008713,            0.008713
                  54,            0.033992,            0.011241,            0.064613,             0.32093,             0.48876,             0.33734,             0.21572,            0.020033,           0.0055423,             0.04646,           0.0086882,           0.0086882,           0.0086882
                  55,            0.034557,            0.011063,            0.067512,             0.31038,             0.25259,             0.18092,            0.089779,            0.033903,           0.0082197,            0.048416,           0.0086635,           0.0086635,           0.0086635
                  56,            0.039193,            0.011188,            0.068614,             0.34632,             0.40855,             0.30416,             0.17913,            0.023433,            0.005413,            0.047323,           0.0086388,           0.0086388,           0.0086388
                  57,            0.037779,            0.011377,            0.068062,             0.35515,             0.41922,             0.33379,             0.18389,            0.021381,           0.0054895,            0.046108,            0.008614,            0.008614,            0.008614
                  58,            0.033633,            0.011681,            0.062248,             0.29061,             0.48038,             0.31924,             0.19114,            0.021097,           0.0058122,            0.046101,           0.0085893,           0.0085893,           0.0085893
                  59,             0.03384,            0.010977,             0.06537,             0.35474,             0.43697,             0.33972,             0.22347,            0.018304,           0.0055818,            0.046508,           0.0085645,           0.0085645,           0.0085645
                  60,            0.036844,            0.011461,            0.069414,             0.34303,              0.3697,             0.30414,             0.17884,             0.02163,           0.0076556,            0.047041,           0.0085398,           0.0085398,           0.0085398
                  61,            0.027982,            0.011081,            0.057286,              0.3912,             0.36246,             0.28733,             0.16899,             0.02217,           0.0068691,            0.047852,            0.008515,            0.008515,            0.008515
                  62,            0.034059,            0.010922,            0.060625,              0.5376,             0.24053,             0.26185,             0.14949,            0.023072,           0.0092268,              0.0465,           0.0084903,           0.0084903,           0.0084903
                  63,            0.034452,            0.011003,            0.066676,             0.43259,             0.36354,             0.28141,             0.17055,            0.020107,           0.0064997,            0.045239,           0.0084655,           0.0084655,           0.0084655
                  64,            0.034354,            0.011388,            0.068052,             0.26827,             0.44843,             0.35252,             0.22339,            0.021592,           0.0057532,             0.04536,           0.0084408,           0.0084408,           0.0084408
                  65,             0.03638,             0.01134,            0.068266,             0.24499,              0.4814,              0.3474,             0.20482,            0.019829,           0.0055953,            0.045001,            0.008416,            0.008416,            0.008416
                  66,            0.034807,             0.01093,            0.061929,             0.37786,             0.46472,             0.39362,             0.23104,            0.021904,           0.0053282,            0.045519,           0.0083913,           0.0083913,           0.0083913
                  67,            0.034829,             0.01121,            0.059923,             0.40357,             0.51149,             0.40063,             0.24636,            0.021866,           0.0059397,            0.045336,           0.0083665,           0.0083665,           0.0083665
                  68,             0.03484,            0.011171,            0.062216,             0.47262,             0.43714,             0.38817,             0.23721,            0.021001,           0.0061191,             0.04572,           0.0083418,           0.0083418,           0.0083418
                  69,            0.039002,            0.011695,            0.063785,             0.39811,             0.40006,             0.35526,             0.20812,            0.022446,           0.0071549,            0.045485,            0.008317,            0.008317,            0.008317
                  70,            0.036022,            0.010847,            0.067964,             0.29161,              0.5641,              0.3724,             0.21523,              0.0222,           0.0056387,            0.045762,           0.0082922,           0.0082922,           0.0082922
                  71,            0.038377,            0.010064,             0.06393,             0.40742,             0.45977,             0.40516,             0.25051,            0.021155,            0.005657,            0.045431,           0.0082675,           0.0082675,           0.0082675
                  72,            0.031535,            0.010834,            0.061465,             0.33464,             0.53997,             0.40378,             0.23163,            0.021835,           0.0054823,            0.044308,           0.0082428,           0.0082428,           0.0082428
                  73,            0.038443,            0.011699,            0.066211,             0.33055,             0.58586,             0.44265,              0.2759,            0.020122,           0.0057347,            0.044103,            0.008218,            0.008218,            0.008218
                  74,            0.035486,            0.011135,            0.064066,             0.29628,               0.578,             0.39318,             0.22773,             0.02198,           0.0060076,            0.044041,           0.0081932,           0.0081932,           0.0081932
                  75,            0.031247,            0.010536,             0.05873,             0.30598,             0.63486,             0.38708,             0.21888,            0.020915,           0.0063324,            0.043611,           0.0081685,           0.0081685,           0.0081685
                  76,            0.033886,            0.010193,            0.058698,             0.25069,             0.56843,              0.3952,             0.23044,            0.020964,            0.006351,            0.043544,           0.0081437,           0.0081437,           0.0081437
                  77,            0.035184,             0.01028,            0.061618,             0.36443,             0.41415,             0.36078,             0.20013,            0.022402,           0.0075448,            0.045213,            0.008119,            0.008119,            0.008119
                  78,            0.031462,            0.010621,             0.05775,             0.35329,             0.47086,             0.36227,             0.19916,            0.021458,           0.0074016,            0.043875,           0.0080942,           0.0080942,           0.0080942
                  79,            0.034033,            0.011258,            0.060577,             0.33415,             0.43557,             0.34885,             0.19391,            0.022242,           0.0074455,            0.044148,           0.0080695,           0.0080695,           0.0080695
                  80,            0.031706,           0.0092618,            0.058216,             0.50189,             0.32561,             0.32108,             0.18441,            0.023998,           0.0074036,            0.046782,           0.0080447,           0.0080447,           0.0080447
                  81,            0.033897,            0.010103,            0.062162,             0.53727,             0.49952,             0.39081,             0.22192,            0.023024,           0.0063481,            0.044799,             0.00802,             0.00802,             0.00802
                  82,            0.035371,           0.0096977,            0.061379,             0.39106,             0.46163,              0.4296,              0.2235,            0.025318,           0.0060266,            0.043971,           0.0079953,           0.0079953,           0.0079953
                  83,             0.03566,            0.010571,            0.059124,              0.3098,              0.4981,             0.43497,             0.25405,             0.02195,           0.0062297,            0.042646,           0.0079705,           0.0079705,           0.0079705
                  84,            0.035128,            0.011118,            0.058817,             0.35615,             0.48788,             0.41205,             0.20657,             0.02211,           0.0056742,            0.043518,           0.0079457,           0.0079457,           0.0079457
                  85,            0.029793,            0.010578,            0.054292,             0.31968,             0.43663,             0.40585,             0.21316,            0.022595,           0.0059888,             0.04322,            0.007921,            0.007921,            0.007921
                  86,            0.031023,            0.010649,            0.056004,             0.29979,              0.5442,             0.41758,             0.23976,            0.019489,           0.0058495,            0.044203,           0.0078963,           0.0078963,           0.0078963
                  87,            0.036851,            0.010366,            0.063539,             0.32862,             0.50534,             0.42377,             0.22843,            0.023547,           0.0058403,            0.044307,           0.0078715,           0.0078715,           0.0078715
                  88,            0.030961,            0.010283,            0.053778,             0.25982,             0.54648,             0.39654,             0.20278,            0.020256,           0.0057021,            0.044872,           0.0078467,           0.0078467,           0.0078467
                  89,            0.037279,            0.010625,            0.061414,               0.402,             0.49086,             0.45376,             0.20756,            0.024135,           0.0062938,             0.04384,            0.007822,            0.007822,            0.007822
