               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.051092,            0.015107,            0.054274,             0.66297,             0.25222,             0.24035,               0.113,            0.027768,           0.0090771,            0.037253,            0.008845,            0.008845,            0.008845
                  37,            0.038299,            0.014822,            0.046358,             0.58551,             0.25926,              0.2731,             0.10588,            0.034028,           0.0090613,            0.037969,            0.008812,            0.008812,            0.008812
                  38,            0.050068,            0.019459,            0.061376,             0.30519,             0.53704,             0.33844,             0.14171,            0.031256,           0.0080703,            0.037878,            0.008779,            0.008779,            0.008779
                  39,            0.045163,             0.01292,            0.053603,             0.31085,             0.63999,             0.39047,             0.22548,            0.027987,           0.0076687,            0.041231,            0.008746,            0.008746,            0.008746
                  40,            0.035587,            0.013377,            0.043434,             0.34654,              0.5842,             0.36993,             0.13555,            0.030687,           0.0070971,            0.042107,            0.008713,            0.008713,            0.008713
                  41,            0.037187,            0.012961,            0.055353,             0.22402,             0.67658,             0.45511,              0.2475,            0.025755,           0.0072094,            0.041779,             0.00868,             0.00868,             0.00868
                  42,            0.046603,            0.012356,            0.046133,             0.32449,             0.68519,             0.54449,             0.29472,            0.024784,           0.0070479,            0.040651,            0.008647,            0.008647,            0.008647
                  43,            0.041696,            0.017232,            0.056838,             0.42789,             0.62819,             0.46136,             0.22211,            0.029434,           0.0065513,            0.041701,            0.008614,            0.008614,            0.008614
                  44,            0.047241,             0.01444,            0.051611,             0.66896,             0.48148,             0.58758,             0.29943,            0.022364,           0.0066994,            0.041808,            0.008581,            0.008581,            0.008581
                  45,             0.03875,            0.012428,            0.051707,             0.63763,             0.53989,             0.61868,             0.34044,            0.024957,           0.0067036,            0.040141,            0.008548,            0.008548,            0.008548
                  46,            0.037894,            0.013149,            0.051866,             0.54738,             0.57178,             0.55221,             0.26585,            0.020323,           0.0067332,            0.040366,            0.008515,            0.008515,            0.008515
                  47,            0.027644,            0.010841,            0.042714,             0.53246,             0.41346,              0.5464,             0.23497,            0.025139,           0.0066415,            0.040146,            0.008482,            0.008482,            0.008482
                  48,            0.027243,            0.012755,            0.037323,             0.37798,             0.51198,             0.52314,             0.31271,            0.022756,           0.0064374,             0.03966,            0.008449,            0.008449,            0.008449
                  49,            0.042246,             0.01561,            0.046457,             0.29988,             0.37037,             0.32815,             0.12601,             0.02826,           0.0068041,            0.038478,            0.008416,            0.008416,            0.008416
                  50,            0.041123,            0.012054,            0.048512,             0.38181,             0.53517,               0.409,             0.19729,            0.021604,           0.0072521,            0.038548,            0.008383,            0.008383,            0.008383
                  51,            0.040139,            0.012907,            0.050236,             0.40443,             0.57407,             0.43955,             0.25813,            0.021338,           0.0082058,            0.037704,             0.00835,             0.00835,             0.00835
